#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
TISSUES	BTO:0000284	Organism form	56	2239	0.2	0.0200	9606.ENSP00000196061,9606.ENSP00000255120,9606.ENSP00000262812,9606.ENSP00000263980,9606.ENSP00000264870,9606.ENSP00000271688,9606.ENSP00000287598,9606.ENSP00000294728,9606.ENSP00000294785,9606.ENSP00000305416,9606.ENSP00000313875,9606.ENSP00000313950,9606.ENSP00000346088,9606.ENSP00000349594,9606.ENSP00000351497,9606.ENSP00000354553,9606.ENSP00000355506,9606.ENSP00000355541,9606.ENSP00000355759,9606.ENSP00000355890,9606.ENSP00000355922,9606.ENSP00000356110,9606.ENSP00000356591,9606.ENSP00000356946,9606.ENSP00000356972,9606.ENSP00000357048,9606.ENSP00000357051,9606.ENSP00000357076,9606.ENSP00000357206,9606.ENSP00000357669,9606.ENSP00000357709,9606.ENSP00000357981,9606.ENSP00000358814,9606.ENSP00000360034,9606.ENSP00000360124,9606.ENSP00000360296,9606.ENSP00000360642,9606.ENSP00000361298,9606.ENSP00000362300,9606.ENSP00000363603,9606.ENSP00000364490,9606.ENSP00000367086,9606.ENSP00000373477,9606.ENSP00000376899,9606.ENSP00000379888,9606.ENSP00000399805,9606.ENSP00000410452,9606.ENSP00000412237,9606.ENSP00000418447,9606.ENSP00000428085,9606.ENSP00000435585,9606.ENSP00000437955,9606.ENSP00000440643,9606.ENSP00000445306,9606.ENSP00000472985,9606.ENSP00000482841	PLOD1,NASP,COPE,SLC9A1,F13A1,CERS2,BUB1B,VCAM1,NCSTN,S1PR1,CD46,AURKB,RPL22,ELAVL4,FCGR2B,C1orf85,EXO1,HEATR1,PARP1,EPRS,CENPF,NUCKS1,SOAT1,FCGR3A,NDUFS2,COPA,PEX19,TAGLN2,NES,NPR1,S100A6,CTSS,AHCYL1,SERBP1,PGM1,PPAP2B,CC2D1B,KIF2C,AGO1,FUCA1,ALDH4A1,ACOT7,GPX3,PTGFRN,RPS8,CRYZ,STMN1,IL10,PPP2CA,RPL30,EPS8L2,HIF1A,TLR5,ATP1A1,RPS5,CRABP2
TISSUES	BTO:0000763	Lung	34	1162	0.27	0.0252	9606.ENSP00000252486,9606.ENSP00000255120,9606.ENSP00000261714,9606.ENSP00000270776,9606.ENSP00000270792,9606.ENSP00000271450,9606.ENSP00000289749,9606.ENSP00000301633,9606.ENSP00000305416,9606.ENSP00000313950,9606.ENSP00000327268,9606.ENSP00000346829,9606.ENSP00000355228,9606.ENSP00000355890,9606.ENSP00000356946,9606.ENSP00000357051,9606.ENSP00000357362,9606.ENSP00000357726,9606.ENSP00000357823,9606.ENSP00000358151,9606.ENSP00000359345,9606.ENSP00000360034,9606.ENSP00000361554,9606.ENSP00000361626,9606.ENSP00000365777,9606.ENSP00000373477,9606.ENSP00000379888,9606.ENSP00000381565,9606.ENSP00000399805,9606.ENSP00000410452,9606.ENSP00000418447,9606.ENSP00000437955,9606.ENSP00000472985,9606.ENSP00000484824	APOE,NASP,BLMH,PGD,SH3BGRL3,FCGR2A,NBL1,BIRC5,S1PR1,AURKB,NDUFV2,WLS,HMGN2,EPRS,FCGR3A,PEX19,THBS3,S100A12,MRPL9,HIST2H2BE,RPL5,SERBP1,TIE1,YBX1,MTHFR,GPX3,RPS8,DIAPH1,CRYZ,STMN1,PPP2CA,HIF1A,RPS5,MUC1
TISSUES	BTO:0003099	Internal female genital organ	62	2593	0.18	0.0279	9606.ENSP00000196061,9606.ENSP00000255120,9606.ENSP00000262662,9606.ENSP00000262812,9606.ENSP00000263980,9606.ENSP00000264870,9606.ENSP00000287598,9606.ENSP00000290524,9606.ENSP00000294728,9606.ENSP00000294785,9606.ENSP00000305416,9606.ENSP00000313875,9606.ENSP00000346088,9606.ENSP00000346829,9606.ENSP00000351407,9606.ENSP00000351497,9606.ENSP00000354553,9606.ENSP00000355890,9606.ENSP00000356110,9606.ENSP00000356319,9606.ENSP00000356591,9606.ENSP00000356946,9606.ENSP00000356972,9606.ENSP00000357048,9606.ENSP00000357051,9606.ENSP00000357076,9606.ENSP00000357206,9606.ENSP00000357555,9606.ENSP00000357669,9606.ENSP00000357705,9606.ENSP00000357709,9606.ENSP00000357981,9606.ENSP00000358151,9606.ENSP00000358814,9606.ENSP00000360021,9606.ENSP00000360034,9606.ENSP00000360124,9606.ENSP00000360266,9606.ENSP00000360296,9606.ENSP00000360642,9606.ENSP00000360688,9606.ENSP00000361298,9606.ENSP00000361540,9606.ENSP00000362300,9606.ENSP00000363520,9606.ENSP00000363603,9606.ENSP00000364490,9606.ENSP00000364649,9606.ENSP00000367086,9606.ENSP00000373477,9606.ENSP00000379888,9606.ENSP00000401010,9606.ENSP00000418447,9606.ENSP00000428085,9606.ENSP00000434614,9606.ENSP00000437955,9606.ENSP00000445306,9606.ENSP00000451112,9606.ENSP00000463154,9606.ENSP00000472985,9606.ENSP00000480004,9606.ENSP00000482841	PLOD1,NASP,CDKN2C,COPE,SLC9A1,F13A1,BUB1B,RFX5,VCAM1,NCSTN,S1PR1,CD46,RPL22,WLS,ARNT,FCGR2B,C1orf85,EPRS,NUCKS1,KIF14,SOAT1,FCGR3A,NDUFS2,COPA,PEX19,TAGLN2,NES,RPS27,NPR1,S100A4,S100A6,CTSS,HIST2H2BE,AHCYL1,GNG12,SERBP1,PGM1,JUN,PPAP2B,CC2D1B,TXNDC12,KIF2C,CDC20,AGO1,NIPAL3,FUCA1,ALDH4A1,SDHB,ACOT7,GPX3,RPS8,CAPZB,PPP2CA,RPL30,CDC27,HIF1A,ATP1A1,NPC2,ANP32E,RPS5,EPHX1,CRABP2
TISSUES	BTO:0000141	Bone marrow	18	478	0.38	0.0389	9606.ENSP00000158762,9606.ENSP00000235329,9606.ENSP00000236147,9606.ENSP00000247191,9606.ENSP00000264870,9606.ENSP00000294507,9606.ENSP00000294728,9606.ENSP00000294785,9606.ENSP00000296509,9606.ENSP00000342026,9606.ENSP00000348888,9606.ENSP00000355890,9606.ENSP00000356319,9606.ENSP00000357076,9606.ENSP00000358045,9606.ENSP00000360944,9606.ENSP00000361626,9606.ENSP00000438615	ACAP1,MFN2,SELL,DLGAP5,F13A1,LAPTM5,VCAM1,NCSTN,MAD2L1,PRDX6,PIGR,EPRS,KIF14,TAGLN2,ECM1,STIL,YBX1,C1R
TISSUES	BTO:0001484	Nervous system	116	5707	0.11	0.0394	9606.ENSP00000178640,9606.ENSP00000196061,9606.ENSP00000222572,9606.ENSP00000233627,9606.ENSP00000235329,9606.ENSP00000246151,9606.ENSP00000251527,9606.ENSP00000252486,9606.ENSP00000253063,9606.ENSP00000255120,9606.ENSP00000255409,9606.ENSP00000256637,9606.ENSP00000259154,9606.ENSP00000261461,9606.ENSP00000261714,9606.ENSP00000262662,9606.ENSP00000262741,9606.ENSP00000262812,9606.ENSP00000263774,9606.ENSP00000263934,9606.ENSP00000270776,9606.ENSP00000271234,9606.ENSP00000285735,9606.ENSP00000286692,9606.ENSP00000294435,9606.ENSP00000294785,9606.ENSP00000305416,9606.ENSP00000311083,9606.ENSP00000313582,9606.ENSP00000313967,9606.ENSP00000318094,9606.ENSP00000322450,9606.ENSP00000334657,9606.ENSP00000338769,9606.ENSP00000342026,9606.ENSP00000344816,9606.ENSP00000346088,9606.ENSP00000346829,9606.ENSP00000349016,9606.ENSP00000349594,9606.ENSP00000351407,9606.ENSP00000354669,9606.ENSP00000354960,9606.ENSP00000355228,9606.ENSP00000355759,9606.ENSP00000355800,9606.ENSP00000355890,9606.ENSP00000356110,9606.ENSP00000356301,9606.ENSP00000356480,9606.ENSP00000356795,9606.ENSP00000356917,9606.ENSP00000356972,9606.ENSP00000356988,9606.ENSP00000357048,9606.ENSP00000357051,9606.ENSP00000357206,9606.ENSP00000357307,9606.ENSP00000357709,9606.ENSP00000357812,9606.ENSP00000358060,9606.ENSP00000358151,9606.ENSP00000358730,9606.ENSP00000358814,9606.ENSP00000358925,9606.ENSP00000359132,9606.ENSP00000359345,9606.ENSP00000359719,9606.ENSP00000359871,9606.ENSP00000360021,9606.ENSP00000360034,9606.ENSP00000360124,9606.ENSP00000360266,9606.ENSP00000360296,9606.ENSP00000360569,9606.ENSP00000360688,9606.ENSP00000360939,9606.ENSP00000361311,9606.ENSP00000361626,9606.ENSP00000362937,9606.ENSP00000363520,9606.ENSP00000363676,9606.ENSP00000364490,9606.ENSP00000364635,9606.ENSP00000364649,9606.ENSP00000365777,9606.ENSP00000366641,9606.ENSP00000367086,9606.ENSP00000367727,9606.ENSP00000378974,9606.ENSP00000379888,9606.ENSP00000379895,9606.ENSP00000381565,9606.ENSP00000381740,9606.ENSP00000385510,9606.ENSP00000399136,9606.ENSP00000399805,9606.ENSP00000401010,9606.ENSP00000410452,9606.ENSP00000418447,9606.ENSP00000419494,9606.ENSP00000420443,9606.ENSP00000435585,9606.ENSP00000437955,9606.ENSP00000439170,9606.ENSP00000441065,9606.ENSP00000445306,9606.ENSP00000451112,9606.ENSP00000457168,9606.ENSP00000460964,9606.ENSP00000463154,9606.ENSP00000472985,9606.ENSP00000476755,9606.ENSP00000480004,9606.ENSP00000483276,9606.ENSP00000485061	MAP2K5,PLOD1,PON2,NDUFS7,MFN2,PITHD1,ESYT2,APOE,SESN2,NASP,CHI3L1,SORT1,KCTD3,PPP2R5A,BLMH,CDKN2C,PIK3R3,COPE,NDUFS3,KIF1B,PGD,FNBP1L,RHOC,DRAM2,RBP7,NCSTN,S1PR1,CKS1B,ZNF436,C1QB,SCMH1,NDUFV1,TRIM46,ASAP3,PRDX6,BSDC1,RPL22,WLS,PEX14,ELAVL4,ARNT,FAM63A,COLGALT2,HMGN2,PARP1,TMEM63A,EPRS,NUCKS1,TMEM9,RNF2,TBX19,OLFML2B,NDUFS2,NIT1,COPA,PEX19,NES,SYT11,S100A6,TDRKH,TARS2,HIST2H2BE,ADORA3,AHCYL1,PSRC1,EXTL2,RPL5,PRKACB,ACADM,GNG12,SERBP1,PGM1,JUN,PPAP2B,SCP2,TXNDC12,CMPK1,TMEM53,YBX1,RCC1,NIPAL3,RPL11,ALDH4A1,PADI2,SDHB,MTHFR,SLC2A5,ACOT7,PANK4,MAPK8,RPS8,GATM,DIAPH1,PARP3,GPSM2,SLC6A12,CRYZ,CAPZB,STMN1,PPP2CA,RYBP,CNIH4,EPS8L2,HIF1A,TBCE,SLC16A1,ATP1A1,NPC2,SZT2,ATPAF1,ANP32E,RPS5,PPP1R12B,EPHX1,TMEM222,SLC27A3
COMPARTMENTS	GOCC:0043226	Organelle	211	9848	0.14	1.59e-07	9606.ENSP00000196061,9606.ENSP00000221515,9606.ENSP00000233627,9606.ENSP00000235329,9606.ENSP00000236040,9606.ENSP00000236147,9606.ENSP00000236273,9606.ENSP00000247191,9606.ENSP00000247986,9606.ENSP00000251527,9606.ENSP00000252102,9606.ENSP00000252486,9606.ENSP00000255120,9606.ENSP00000255409,9606.ENSP00000256637,9606.ENSP00000261461,9606.ENSP00000261714,9606.ENSP00000262662,9606.ENSP00000262812,9606.ENSP00000263774,9606.ENSP00000263934,9606.ENSP00000263980,9606.ENSP00000264870,9606.ENSP00000266544,9606.ENSP00000267430,9606.ENSP00000270708,9606.ENSP00000270776,9606.ENSP00000270792,9606.ENSP00000271324,9606.ENSP00000271450,9606.ENSP00000271452,9606.ENSP00000271688,9606.ENSP00000272238,9606.ENSP00000274137,9606.ENSP00000282074,9606.ENSP00000284509,9606.ENSP00000285735,9606.ENSP00000286692,9606.ENSP00000287598,9606.ENSP00000290524,9606.ENSP00000290663,9606.ENSP00000294507,9606.ENSP00000294724,9606.ENSP00000294728,9606.ENSP00000294785,9606.ENSP00000296509,9606.ENSP00000297679,9606.ENSP00000301633,9606.ENSP00000303758,9606.ENSP00000305204,9606.ENSP00000305416,9606.ENSP00000308583,9606.ENSP00000310111,9606.ENSP00000311083,9606.ENSP00000313582,9606.ENSP00000313875,9606.ENSP00000313950,9606.ENSP00000318094,9606.ENSP00000322450,9606.ENSP00000327268,9606.ENSP00000330237,9606.ENSP00000341963,9606.ENSP00000342026,9606.ENSP00000342385,9606.ENSP00000346088,9606.ENSP00000346829,9606.ENSP00000348888,9606.ENSP00000349016,9606.ENSP00000351407,9606.ENSP00000354553,9606.ENSP00000354960,9606.ENSP00000355141,9606.ENSP00000355228,9606.ENSP00000355299,9606.ENSP00000355506,9606.ENSP00000355541,9606.ENSP00000355759,9606.ENSP00000355800,9606.ENSP00000355922,9606.ENSP00000355955,9606.ENSP00000355958,9606.ENSP00000355966,9606.ENSP00000355995,9606.ENSP00000356016,9606.ENSP00000356110,9606.ENSP00000356172,9606.ENSP00000356243,9606.ENSP00000356301,9606.ENSP00000356319,9606.ENSP00000356379,9606.ENSP00000356480,9606.ENSP00000356505,9606.ENSP00000356591,9606.ENSP00000356919,9606.ENSP00000356946,9606.ENSP00000356972,9606.ENSP00000356988,9606.ENSP00000357048,9606.ENSP00000357051,9606.ENSP00000357076,9606.ENSP00000357206,9606.ENSP00000357256,9606.ENSP00000357259,9606.ENSP00000357307,9606.ENSP00000357360,9606.ENSP00000357389,9606.ENSP00000357475,9606.ENSP00000357555,9606.ENSP00000357644,9606.ENSP00000357688,9606.ENSP00000357705,9606.ENSP00000357707,9606.ENSP00000357709,9606.ENSP00000357722,9606.ENSP00000357726,9606.ENSP00000357812,9606.ENSP00000357823,9606.ENSP00000357901,9606.ENSP00000357981,9606.ENSP00000358045,9606.ENSP00000358151,9606.ENSP00000358478,9606.ENSP00000358814,9606.ENSP00000358925,9606.ENSP00000359345,9606.ENSP00000359488,9606.ENSP00000359719,9606.ENSP00000359871,9606.ENSP00000360034,9606.ENSP00000360124,9606.ENSP00000360133,9606.ENSP00000360266,9606.ENSP00000360296,9606.ENSP00000360569,9606.ENSP00000360642,9606.ENSP00000360688,9606.ENSP00000360762,9606.ENSP00000360913,9606.ENSP00000360939,9606.ENSP00000360944,9606.ENSP00000361014,9606.ENSP00000361043,9606.ENSP00000361298,9606.ENSP00000361540,9606.ENSP00000361626,9606.ENSP00000362060,9606.ENSP00000362146,9606.ENSP00000362300,9606.ENSP00000362444,9606.ENSP00000362937,9606.ENSP00000363117,9606.ENSP00000363257,9606.ENSP00000363452,9606.ENSP00000363603,9606.ENSP00000363676,9606.ENSP00000364490,9606.ENSP00000364635,9606.ENSP00000364649,9606.ENSP00000365851,9606.ENSP00000366628,9606.ENSP00000366641,9606.ENSP00000367086,9606.ENSP00000376168,9606.ENSP00000378974,9606.ENSP00000379739,9606.ENSP00000379888,9606.ENSP00000379895,9606.ENSP00000380494,9606.ENSP00000380901,9606.ENSP00000381565,9606.ENSP00000381740,9606.ENSP00000385510,9606.ENSP00000386439,9606.ENSP00000393139,9606.ENSP00000394394,9606.ENSP00000399805,9606.ENSP00000401010,9606.ENSP00000406293,9606.ENSP00000410452,9606.ENSP00000412292,9606.ENSP00000417677,9606.ENSP00000417748,9606.ENSP00000418447,9606.ENSP00000419494,9606.ENSP00000419740,9606.ENSP00000420443,9606.ENSP00000428085,9606.ENSP00000433642,9606.ENSP00000434614,9606.ENSP00000435412,9606.ENSP00000435585,9606.ENSP00000437955,9606.ENSP00000438615,9606.ENSP00000439170,9606.ENSP00000440643,9606.ENSP00000440704,9606.ENSP00000441065,9606.ENSP00000445306,9606.ENSP00000451112,9606.ENSP00000457168,9606.ENSP00000462099,9606.ENSP00000462729,9606.ENSP00000463154,9606.ENSP00000472985,9606.ENSP00000473348,9606.ENSP00000476755,9606.ENSP00000477344,9606.ENSP00000480004,9606.ENSP00000482841,9606.ENSP00000484824,9606.ENSP00000485061	PLOD1,RETN,NDUFS7,MFN2,LEPRE1,SELL,SYF2,DLGAP5,KIF17,ESYT2,NDUFA2,APOE,NASP,CHI3L1,SORT1,PPP2R5A,BLMH,CDKN2C,COPE,NDUFS3,KIF1B,SLC9A1,F13A1,NDUFA9,FANCM,WRAP73,PGD,SH3BGRL3,CD53,FCGR2A,NUF2,CERS2,ATP6V1C2,NDUFS6,SPC25,ATP8B4,RHOC,DRAM2,BUB1B,RFX5,MED8,LAPTM5,AGL,VCAM1,NCSTN,MAD2L1,HSD3B7,BIRC5,LUZP1,CKAP2L,S1PR1,APITD1,HSPB7,CKS1B,ZNF436,CD46,AURKB,SCMH1,NDUFV1,NDUFV2,CASP9,RSC1A1,PRDX6,PTGES,RPL22,WLS,PIGR,PEX14,ARNT,C1orf85,COLGALT2,SEPN1,HMGN2,TSEN15,EXO1,HEATR1,PARP1,TMEM63A,CENPF,NENF,DTL,NEK2,HSD11B1,CR1,NUCKS1,SOX13,UBE2T,TMEM9,KIF14,ASPM,RNF2,NCF2,SOAT1,ATF6,FCGR3A,NDUFS2,NIT1,COPA,PEX19,TAGLN2,NES,PMF1,PMF1-BGLAP,SYT11,MTX1,SLC50A1,ATP8B2,RPS27,GATAD2B,S100A13,S100A4,S100A5,S100A6,S100A8,S100A12,TDRKH,MRPL9,SCNM1,CTSS,ECM1,HIST2H2BE,TTF2,AHCYL1,PSRC1,RPL5,GBP5,PRKACB,ACADM,SERBP1,PGM1,ITGB3BP,JUN,PPAP2B,SCP2,CC2D1B,TXNDC12,ANKRD1,SPATA6,CMPK1,STIL,MKNK1,RAD54L,KIF2C,CDC20,YBX1,NDUFS5,CDCA8,AGO1,DLGAP3,RCC1,FGR,ZDHHC18,MAN1C1,FUCA1,RPL11,ALDH4A1,PADI2,SDHB,BMI1,GPR157,SLC2A5,ACOT7,STRA13,MAPK8,IPP,RPS8,GATM,MYCL,COL8A2,DIAPH1,PARP3,GPSM2,SYNC,CDC7,ANAPC7,CRYZ,CAPZB,TCEA3,STMN1,DEPDC1,ZBTB8OS,DDI2,PPP2CA,RYBP,NSUN4,CNIH4,RPL30,FCGR3B,CDC27,RPS6KA1,EPS8L2,HIF1A,C1R,TBCE,TLR5,SYTL1,SLC16A1,ATP1A1,NPC2,SZT2,RASSF5,OTUD7B,ANP32E,RPS5,H6PD,PPP1R12B,SYT6,EPHX1,CRABP2,MUC1,SLC27A3
COMPARTMENTS	GOCC:0000777	Condensed chromosome kinetochore	11	60	1.07	1.30e-05	9606.ENSP00000271452,9606.ENSP00000282074,9606.ENSP00000287598,9606.ENSP00000301633,9606.ENSP00000308583,9606.ENSP00000313950,9606.ENSP00000355922,9606.ENSP00000357256,9606.ENSP00000357259,9606.ENSP00000360133,9606.ENSP00000361298	NUF2,SPC25,BUB1B,BIRC5,APITD1,AURKB,CENPF,PMF1,PMF1-BGLAP,ITGB3BP,KIF2C
COMPARTMENTS	GOCC:0000775	Chromosome, centromeric region	15	145	0.82	1.36e-05	9606.ENSP00000271452,9606.ENSP00000282074,9606.ENSP00000287598,9606.ENSP00000296509,9606.ENSP00000301633,9606.ENSP00000308583,9606.ENSP00000313950,9606.ENSP00000355922,9606.ENSP00000355966,9606.ENSP00000357256,9606.ENSP00000357259,9606.ENSP00000360133,9606.ENSP00000361298,9606.ENSP00000362146,9606.ENSP00000376168	NUF2,SPC25,BUB1B,MAD2L1,BIRC5,APITD1,AURKB,CENPF,NEK2,PMF1,PMF1-BGLAP,ITGB3BP,KIF2C,CDCA8,STRA13
COMPARTMENTS	GOCC:0043229	Intracellular organelle	194	9242	0.13	1.36e-05	9606.ENSP00000196061,9606.ENSP00000221515,9606.ENSP00000233627,9606.ENSP00000235329,9606.ENSP00000236040,9606.ENSP00000236147,9606.ENSP00000236273,9606.ENSP00000247191,9606.ENSP00000247986,9606.ENSP00000251527,9606.ENSP00000252102,9606.ENSP00000252486,9606.ENSP00000255120,9606.ENSP00000255409,9606.ENSP00000256637,9606.ENSP00000261461,9606.ENSP00000261714,9606.ENSP00000262662,9606.ENSP00000262812,9606.ENSP00000263774,9606.ENSP00000263934,9606.ENSP00000263980,9606.ENSP00000264870,9606.ENSP00000266544,9606.ENSP00000267430,9606.ENSP00000270708,9606.ENSP00000270776,9606.ENSP00000270792,9606.ENSP00000271324,9606.ENSP00000271450,9606.ENSP00000271452,9606.ENSP00000271688,9606.ENSP00000272238,9606.ENSP00000274137,9606.ENSP00000282074,9606.ENSP00000284509,9606.ENSP00000286692,9606.ENSP00000287598,9606.ENSP00000290524,9606.ENSP00000290663,9606.ENSP00000294507,9606.ENSP00000294724,9606.ENSP00000294728,9606.ENSP00000294785,9606.ENSP00000296509,9606.ENSP00000297679,9606.ENSP00000301633,9606.ENSP00000303758,9606.ENSP00000305204,9606.ENSP00000305416,9606.ENSP00000308583,9606.ENSP00000310111,9606.ENSP00000311083,9606.ENSP00000313582,9606.ENSP00000313875,9606.ENSP00000313950,9606.ENSP00000318094,9606.ENSP00000322450,9606.ENSP00000327268,9606.ENSP00000341963,9606.ENSP00000342026,9606.ENSP00000346088,9606.ENSP00000346829,9606.ENSP00000348888,9606.ENSP00000349016,9606.ENSP00000351407,9606.ENSP00000354553,9606.ENSP00000354960,9606.ENSP00000355228,9606.ENSP00000355299,9606.ENSP00000355506,9606.ENSP00000355541,9606.ENSP00000355759,9606.ENSP00000355800,9606.ENSP00000355922,9606.ENSP00000355955,9606.ENSP00000355958,9606.ENSP00000355966,9606.ENSP00000356016,9606.ENSP00000356110,9606.ENSP00000356172,9606.ENSP00000356243,9606.ENSP00000356301,9606.ENSP00000356319,9606.ENSP00000356379,9606.ENSP00000356480,9606.ENSP00000356505,9606.ENSP00000356591,9606.ENSP00000356919,9606.ENSP00000356972,9606.ENSP00000356988,9606.ENSP00000357048,9606.ENSP00000357051,9606.ENSP00000357206,9606.ENSP00000357256,9606.ENSP00000357259,9606.ENSP00000357307,9606.ENSP00000357360,9606.ENSP00000357389,9606.ENSP00000357475,9606.ENSP00000357555,9606.ENSP00000357644,9606.ENSP00000357688,9606.ENSP00000357705,9606.ENSP00000357707,9606.ENSP00000357709,9606.ENSP00000357722,9606.ENSP00000357726,9606.ENSP00000357812,9606.ENSP00000357823,9606.ENSP00000357901,9606.ENSP00000357981,9606.ENSP00000358045,9606.ENSP00000358151,9606.ENSP00000358478,9606.ENSP00000358925,9606.ENSP00000359345,9606.ENSP00000359488,9606.ENSP00000359719,9606.ENSP00000359871,9606.ENSP00000360034,9606.ENSP00000360124,9606.ENSP00000360133,9606.ENSP00000360266,9606.ENSP00000360296,9606.ENSP00000360569,9606.ENSP00000360642,9606.ENSP00000360688,9606.ENSP00000360762,9606.ENSP00000360939,9606.ENSP00000360944,9606.ENSP00000361014,9606.ENSP00000361043,9606.ENSP00000361298,9606.ENSP00000361540,9606.ENSP00000361626,9606.ENSP00000362060,9606.ENSP00000362146,9606.ENSP00000362300,9606.ENSP00000362937,9606.ENSP00000363117,9606.ENSP00000363257,9606.ENSP00000363452,9606.ENSP00000363603,9606.ENSP00000363676,9606.ENSP00000364490,9606.ENSP00000364635,9606.ENSP00000364649,9606.ENSP00000365851,9606.ENSP00000366641,9606.ENSP00000367086,9606.ENSP00000376168,9606.ENSP00000378974,9606.ENSP00000379739,9606.ENSP00000379888,9606.ENSP00000379895,9606.ENSP00000380494,9606.ENSP00000380901,9606.ENSP00000381565,9606.ENSP00000381740,9606.ENSP00000385510,9606.ENSP00000386439,9606.ENSP00000393139,9606.ENSP00000394394,9606.ENSP00000401010,9606.ENSP00000406293,9606.ENSP00000410452,9606.ENSP00000412292,9606.ENSP00000417677,9606.ENSP00000417748,9606.ENSP00000418447,9606.ENSP00000419494,9606.ENSP00000419740,9606.ENSP00000420443,9606.ENSP00000428085,9606.ENSP00000433642,9606.ENSP00000434614,9606.ENSP00000435412,9606.ENSP00000437955,9606.ENSP00000439170,9606.ENSP00000440704,9606.ENSP00000441065,9606.ENSP00000451112,9606.ENSP00000457168,9606.ENSP00000462099,9606.ENSP00000462729,9606.ENSP00000463154,9606.ENSP00000472985,9606.ENSP00000473348,9606.ENSP00000476755,9606.ENSP00000477344,9606.ENSP00000482841,9606.ENSP00000484824,9606.ENSP00000485061	PLOD1,RETN,NDUFS7,MFN2,LEPRE1,SELL,SYF2,DLGAP5,KIF17,ESYT2,NDUFA2,APOE,NASP,CHI3L1,SORT1,PPP2R5A,BLMH,CDKN2C,COPE,NDUFS3,KIF1B,SLC9A1,F13A1,NDUFA9,FANCM,WRAP73,PGD,SH3BGRL3,CD53,FCGR2A,NUF2,CERS2,ATP6V1C2,NDUFS6,SPC25,ATP8B4,DRAM2,BUB1B,RFX5,MED8,LAPTM5,AGL,VCAM1,NCSTN,MAD2L1,HSD3B7,BIRC5,LUZP1,CKAP2L,S1PR1,APITD1,HSPB7,CKS1B,ZNF436,CD46,AURKB,SCMH1,NDUFV1,NDUFV2,RSC1A1,PRDX6,RPL22,WLS,PIGR,PEX14,ARNT,C1orf85,COLGALT2,HMGN2,TSEN15,EXO1,HEATR1,PARP1,TMEM63A,CENPF,NENF,DTL,NEK2,CR1,NUCKS1,SOX13,UBE2T,TMEM9,KIF14,ASPM,RNF2,NCF2,SOAT1,ATF6,NDUFS2,NIT1,COPA,PEX19,NES,PMF1,PMF1-BGLAP,SYT11,MTX1,SLC50A1,ATP8B2,RPS27,GATAD2B,S100A13,S100A4,S100A5,S100A6,S100A8,S100A12,TDRKH,MRPL9,SCNM1,CTSS,ECM1,HIST2H2BE,TTF2,PSRC1,RPL5,GBP5,PRKACB,ACADM,SERBP1,PGM1,ITGB3BP,JUN,PPAP2B,SCP2,CC2D1B,TXNDC12,ANKRD1,CMPK1,STIL,MKNK1,RAD54L,KIF2C,CDC20,YBX1,NDUFS5,CDCA8,AGO1,RCC1,FGR,ZDHHC18,MAN1C1,FUCA1,RPL11,ALDH4A1,PADI2,SDHB,BMI1,SLC2A5,ACOT7,STRA13,MAPK8,IPP,RPS8,GATM,MYCL,COL8A2,DIAPH1,PARP3,GPSM2,SYNC,CDC7,ANAPC7,CAPZB,TCEA3,STMN1,DEPDC1,ZBTB8OS,DDI2,PPP2CA,RYBP,NSUN4,CNIH4,RPL30,FCGR3B,CDC27,RPS6KA1,HIF1A,TBCE,SYTL1,SLC16A1,NPC2,SZT2,RASSF5,OTUD7B,ANP32E,RPS5,H6PD,PPP1R12B,SYT6,CRABP2,MUC1,SLC27A3
COMPARTMENTS	GOCC:0000776	Kinetochore	13	106	0.89	1.54e-05	9606.ENSP00000271452,9606.ENSP00000282074,9606.ENSP00000287598,9606.ENSP00000296509,9606.ENSP00000301633,9606.ENSP00000308583,9606.ENSP00000313950,9606.ENSP00000355922,9606.ENSP00000355966,9606.ENSP00000357256,9606.ENSP00000357259,9606.ENSP00000360133,9606.ENSP00000361298	NUF2,SPC25,BUB1B,MAD2L1,BIRC5,APITD1,AURKB,CENPF,NEK2,PMF1,PMF1-BGLAP,ITGB3BP,KIF2C
