"Annotation (pathway/process)"	"XD-score"	"Fisher q-value"	"Gene set size"	"Pathway size"	"Overlap size"
"GO:0009968~negative regulation of signal transduction"	-0.151644423260248	1	239	21	0
"GO:0030278~regulation of ossification"	-0.151644423260248	1	239	11	0
"GO:0007178~transmembrane receptor protein serine/threonine kinase signaling pathway"	-0.151644423260248	1	239	11	0
"GO:0010862~positive regulation of pathway-restricted SMAD protein phosphorylation"	-0.151644423260248	1	239	28	0
"GO:0032924~activin receptor signaling pathway"	-0.151644423260248	1	239	11	0
"GO:0007498~mesoderm development"	-0.151644423260248	1	239	36	0
"GO:0007369~gastrulation"	-0.151644423260248	1	239	28	0
"GO:0001837~epithelial to mesenchymal transition"	-0.151644423260248	1	239	30	0
"GO:0043542~endothelial cell migration"	-0.151644423260248	1	239	22	0
"GO:0009116~nucleoside metabolic process"	-0.151644423260248	1	239	16	0
"GO:0006206~pyrimidine base metabolic process"	-0.151644423260248	1	239	24	0
"GO:0046135~pyrimidine nucleoside catabolic process"	-0.151644423260248	1	239	12	0
"GO:0000186~activation of MAPKK activity"	-0.151644423260248	1	239	46	0
"GO:0040008~regulation of growth"	-0.151644423260248	1	239	55	0
"GO:0070979~protein K11-linked ubiquitination"	-0.151644423260248	1	239	25	0
"GO:0070534~protein K63-linked ubiquitination"	-0.151644423260248	1	239	21	0
"GO:0032321~positive regulation of Rho GTPase activity"	-0.151644423260248	1	239	31	0
"GO:0001974~blood vessel remodeling"	-0.151644423260248	1	239	37	0
"GO:0030183~B cell differentiation"	-0.151644423260248	1	239	46	0
"GO:0007159~leukocyte cell-cell adhesion"	-0.151644423260248	1	239	25	0
"GO:0007157~heterophilic cell-cell adhesion"	-0.151644423260248	1	239	27	0
"GO:0016042~lipid catabolic process"	-0.151644423260248	1	239	69	0
"GO:0009950~dorsal/ventral axis specification"	-0.151644423260248	1	239	15	0
"GO:0032091~negative regulation of protein binding"	-0.151644423260248	1	239	22	0
"GO:0030111~regulation of Wnt receptor signaling pathway"	-0.151644423260248	1	239	17	0
"GO:0042593~glucose homeostasis"	-0.151644423260248	1	239	65	0
"GO:0023019~signal transduction involved in regulation of gene expression"	-0.151644423260248	1	239	18	0
"GO:0031018~endocrine pancreas development"	-0.151644423260248	1	239	40	0
"GO:0007263~nitric oxide mediated signal transduction"	-0.151644423260248	1	239	16	0
"GO:0022008~neurogenesis"	-0.151644423260248	1	239	34	0
"GO:0051091~positive regulation of sequence-specific DNA binding transcription factor activity"	-0.151644423260248	1	239	77	0
"GO:0045597~positive regulation of cell differentiation"	-0.151644423260248	1	239	37	0
"GO:0043010~camera-type eye development"	-0.151644423260248	1	239	55	0
"GO:0045165~cell fate commitment"	-0.151644423260248	1	239	47	0
"GO:0008542~visual learning"	-0.151644423260248	1	239	35	0
"GO:0030307~positive regulation of cell growth"	-0.151644423260248	1	239	60	0
"GO:0000042~protein targeting to Golgi"	-0.151644423260248	1	239	14	0
"GO:0007202~activation of phospholipase C activity"	-0.151644423260248	1	239	59	0
"GO:0030433~ER-associated protein catabolic process"	-0.151644423260248	1	239	31	0
"GO:0070059~intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress"	-0.151644423260248	1	239	15	0
"GO:0032781~positive regulation of ATPase activity"	-0.151644423260248	1	239	17	0
"GO:0045600~positive regulation of fat cell differentiation"	-0.151644423260248	1	239	22	0
"GO:0030178~negative regulation of Wnt receptor signaling pathway"	-0.151644423260248	1	239	42	0
"GO:0060056~mammary gland involution"	-0.151644423260248	1	239	10	0
"GO:0090103~cochlea morphogenesis"	-0.151644423260248	1	239	21	0
"GO:0008406~gonad development"	-0.151644423260248	1	239	26	0
"GO:0001944~vasculature development"	-0.151644423260248	1	239	34	0
"GO:0042472~inner ear morphogenesis"	-0.151644423260248	1	239	67	0
"GO:0048617~embryonic foregut morphogenesis"	-0.151644423260248	1	239	11	0
"GO:0035050~embryonic heart tube development"	-0.151644423260248	1	239	20	0
"GO:0032880~regulation of protein localization"	-0.151644423260248	1	239	34	0
"GO:0048339~paraxial mesoderm development"	-0.151644423260248	1	239	10	0
"GO:0030032~lamellipodium assembly"	-0.151644423260248	1	239	22	0
"GO:0045176~apical protein localization"	-0.151644423260248	1	239	11	0
"GO:0042074~cell migration involved in gastrulation"	-0.151644423260248	1	239	12	0
"GO:0001756~somitogenesis"	-0.151644423260248	1	239	46	0
"GO:0007492~endoderm development"	-0.151644423260248	1	239	36	0
"GO:0045860~positive regulation of protein kinase activity"	-0.151644423260248	1	239	40	0
"GO:0006469~negative regulation of protein kinase activity"	-0.151644423260248	1	239	56	0
"GO:0043410~positive regulation of MAPK cascade"	-0.151644423260248	1	239	67	0
"GO:0043507~positive regulation of JUN kinase activity"	-0.151644423260248	1	239	32	0
"GO:0046329~negative regulation of JNK cascade"	-0.151644423260248	1	239	19	0
"GO:0043508~negative regulation of JUN kinase activity"	-0.151644423260248	1	239	12	0
"GO:0000188~inactivation of MAPK activity"	-0.151644423260248	1	239	25	0
"GO:0010827~regulation of glucose transport"	-0.151644423260248	1	239	30	0
"GO:0030335~positive regulation of cell migration"	-0.151644423260248	1	239	108	0
"GO:0051927~negative regulation of calcium ion transport via voltage-gated calcium channel activity"	-0.151644423260248	1	239	11	0
"GO:0070371~ERK1 and ERK2 cascade"	-0.151644423260248	1	239	21	0
"GO:0043277~apoptotic cell clearance"	-0.151644423260248	1	239	12	0
"GO:0010745~negative regulation of macrophage derived foam cell differentiation"	-0.151644423260248	1	239	12	0
"GO:0001568~blood vessel development"	-0.151644423260248	1	239	59	0
"GO:0048661~positive regulation of smooth muscle cell proliferation"	-0.151644423260248	1	239	49	0
"GO:0030819~positive regulation of cAMP biosynthetic process"	-0.151644423260248	1	239	33	0
"GO:0007189~adenylate cyclase-activating G-protein coupled receptor signaling pathway"	-0.151644423260248	1	239	45	0
"GO:0031623~receptor internalization"	-0.151644423260248	1	239	28	0
"GO:0006937~regulation of muscle contraction"	-0.151644423260248	1	239	18	0
"GO:0050728~negative regulation of inflammatory response"	-0.151644423260248	1	239	49	0
"GO:0006171~cAMP biosynthetic process"	-0.151644423260248	1	239	16	0
"GO:0007187~G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger"	-0.151644423260248	1	239	39	0
"GO:0010466~negative regulation of peptidase activity"	-0.151644423260248	1	239	10	0
"GO:0006869~lipid transport"	-0.151644423260248	1	239	64	0
"GO:0006911~phagocytosis, engulfment"	-0.151644423260248	1	239	14	0
"GO:0043588~skin development"	-0.151644423260248	1	239	51	0
"GO:0048565~digestive tract development"	-0.151644423260248	1	239	24	0
"GO:0030199~collagen fibril organization"	-0.151644423260248	1	239	40	0
"GO:0034097~response to cytokine stimulus"	-0.151644423260248	1	239	65	0
"GO:0071230~cellular response to amino acid stimulus"	-0.151644423260248	1	239	38	0
"GO:0009314~response to radiation"	-0.151644423260248	1	239	34	0
"GO:0006879~cellular iron ion homeostasis"	-0.151644423260248	1	239	63	0
"GO:0006826~iron ion transport"	-0.151644423260248	1	239	18	0
"GO:0006541~glutamine metabolic process"	-0.151644423260248	1	239	16	0
"GO:0006672~ceramide metabolic process"	-0.151644423260248	1	239	17	0
"GO:0046513~ceramide biosynthetic process"	-0.151644423260248	1	239	17	0
"GO:0070584~mitochondrion morphogenesis"	-0.151644423260248	1	239	11	0
"GO:0071773~cellular response to BMP stimulus"	-0.151644423260248	1	239	10	0
"GO:0006417~regulation of translation"	-0.151644423260248	1	239	59	0
"GO:0009629~response to gravity"	-0.151644423260248	1	239	11	0
"GO:0033574~response to testosterone stimulus"	-0.151644423260248	1	239	26	0
"GO:0043403~skeletal muscle tissue regeneration"	-0.151644423260248	1	239	11	0
"GO:0030101~natural killer cell activation"	-0.151644423260248	1	239	14	0
"GO:0008104~protein localization"	-0.151644423260248	1	239	63	0
"GO:0032024~positive regulation of insulin secretion"	-0.151644423260248	1	239	35	0
"GO:0006887~exocytosis"	-0.151644423260248	1	239	56	0
"GO:0046854~phosphatidylinositol phosphorylation"	-0.151644423260248	1	239	31	0
"GO:0006796~phosphate-containing compound metabolic process"	-0.151644423260248	1	239	20	0
"GO:0050909~sensory perception of taste"	-0.151644423260248	1	239	35	0
"GO:0050912~detection of chemical stimulus involved in sensory perception of taste"	-0.151644423260248	1	239	12	0
"GO:0019722~calcium-mediated signaling"	-0.151644423260248	1	239	46	0
"GO:0042552~myelination"	-0.151644423260248	1	239	38	0
"GO:0001958~endochondral ossification"	-0.151644423260248	1	239	22	0
"GO:0048009~insulin-like growth factor receptor signaling pathway"	-0.151644423260248	1	239	14	0
"GO:0007269~neurotransmitter secretion"	-0.151644423260248	1	239	52	0
"GO:0014047~glutamate secretion"	-0.151644423260248	1	239	17	0
"GO:0051289~protein homotetramerization"	-0.151644423260248	1	239	52	0
"GO:0002087~regulation of respiratory gaseous exchange by neurological system process"	-0.151644423260248	1	239	12	0
"GO:0007610~behavior"	-0.151644423260248	1	239	41	0
"GO:0008652~cellular amino acid biosynthetic process"	-0.151644423260248	1	239	20	0
"GO:0001759~organ induction"	-0.151644423260248	1	239	15	0
"GO:0035121~tail morphogenesis"	-0.151644423260248	1	239	17	0
"GO:0006814~sodium ion transport"	-0.151644423260248	1	239	92	0
"GO:0006811~ion transport"	-0.151644423260248	1	239	284	0
"GO:0016525~negative regulation of angiogenesis"	-0.151644423260248	1	239	49	0
"GO:0033209~tumor necrosis factor-mediated signaling pathway"	-0.151644423260248	1	239	30	0
"GO:0031663~lipopolysaccharide-mediated signaling pathway"	-0.151644423260248	1	239	31	0
"GO:0043330~response to exogenous dsRNA"	-0.151644423260248	1	239	16	0
"GO:0007259~JAK-STAT cascade"	-0.151644423260248	1	239	32	0
"GO:0060397~JAK-STAT cascade involved in growth hormone signaling pathway"	-0.151644423260248	1	239	23	0
"GO:0001937~negative regulation of endothelial cell proliferation"	-0.151644423260248	1	239	23	0
"GO:0043124~negative regulation of I-kappaB kinase/NF-kappaB cascade"	-0.151644423260248	1	239	19	0
"GO:0060334~regulation of interferon-gamma-mediated signaling pathway"	-0.151644423260248	1	239	16	0
"GO:0060338~regulation of type I interferon-mediated signaling pathway"	-0.151644423260248	1	239	27	0
"GO:0009617~response to bacterium"	-0.151644423260248	1	239	28	0
"GO:0006801~superoxide metabolic process"	-0.151644423260248	1	239	17	0
"GO:0019430~removal of superoxide radicals"	-0.151644423260248	1	239	11	0
"GO:0030001~metal ion transport"	-0.151644423260248	1	239	22	0
"GO:0010842~retina layer formation"	-0.151644423260248	1	239	13	0
"GO:0007626~locomotory behavior"	-0.151644423260248	1	239	70	0
"GO:0070830~tight junction assembly"	-0.151644423260248	1	239	31	0
"GO:0032784~regulation of transcription elongation, DNA-dependent"	-0.151644423260248	1	239	13	0
"GO:0032313~regulation of Rab GTPase activity"	-0.151644423260248	1	239	35	0
"GO:0006506~GPI anchor biosynthetic process"	-0.151644423260248	1	239	28	0
"GO:0006501~C-terminal protein lipidation"	-0.151644423260248	1	239	25	0
"GO:0016254~preassembly of GPI anchor in ER membrane"	-0.151644423260248	1	239	16	0
"GO:0044237~cellular metabolic process"	-0.151644423260248	1	239	38	0
"GO:0016575~histone deacetylation"	-0.151644423260248	1	239	20	0
"GO:0030520~intracellular estrogen receptor signaling pathway"	-0.151644423260248	1	239	14	0
"GO:0006396~RNA processing"	-0.151644423260248	1	239	89	0
"GO:0007130~synaptonemal complex assembly"	-0.151644423260248	1	239	21	0
"GO:0051017~actin filament bundle assembly"	-0.151644423260248	1	239	25	0
"GO:0030048~actin filament-based movement"	-0.151644423260248	1	239	16	0
"GO:0006812~cation transport"	-0.151644423260248	1	239	89	0
"GO:0045332~phospholipid translocation"	-0.151644423260248	1	239	13	0
"GO:0016573~histone acetylation"	-0.151644423260248	1	239	25	0
"GO:0043967~histone H4 acetylation"	-0.151644423260248	1	239	21	0
"GO:0016578~histone deubiquitination"	-0.151644423260248	1	239	12	0
"GO:0043968~histone H2A acetylation"	-0.151644423260248	1	239	12	0
"GO:0002250~adaptive immune response"	-0.151644423260248	1	239	16	0
"GO:0097067~cellular response to thyroid hormone stimulus"	-0.151644423260248	1	239	10	0
"GO:0051693~actin filament capping"	-0.151644423260248	1	239	17	0
"GO:0051258~protein polymerization"	-0.151644423260248	1	239	30	0
"GO:0045444~fat cell differentiation"	-0.151644423260248	1	239	51	0
"GO:0006612~protein targeting to membrane"	-0.151644423260248	1	239	16	0
"GO:0032402~melanosome transport"	-0.151644423260248	1	239	11	0
"GO:0032922~circadian regulation of gene expression"	-0.151644423260248	1	239	12	0
"GO:0051403~stress-activated MAPK cascade"	-0.151644423260248	1	239	52	0
"GO:0051149~positive regulation of muscle cell differentiation"	-0.151644423260248	1	239	28	0
"GO:0045947~negative regulation of translational initiation"	-0.151644423260248	1	239	11	0
"GO:0007156~homophilic cell adhesion"	-0.151644423260248	1	239	92	0
"GO:0001892~embryonic placenta development"	-0.151644423260248	1	239	24	0
"GO:0032720~negative regulation of tumor necrosis factor production"	-0.151644423260248	1	239	26	0
"GO:0040018~positive regulation of multicellular organism growth"	-0.151644423260248	1	239	29	0
"GO:0001938~positive regulation of endothelial cell proliferation"	-0.151644423260248	1	239	50	0
"GO:0010575~positive regulation vascular endothelial growth factor production"	-0.151644423260248	1	239	18	0
"GO:0045648~positive regulation of erythrocyte differentiation"	-0.151644423260248	1	239	17	0
"GO:0030949~positive regulation of vascular endothelial growth factor receptor signaling pathway"	-0.151644423260248	1	239	14	0
"GO:0006641~triglyceride metabolic process"	-0.151644423260248	1	239	32	0
"GO:0016310~phosphorylation"	-0.151644423260248	1	239	46	0
"GO:0016180~snRNA processing"	-0.151644423260248	1	239	12	0
"GO:0006829~zinc ion transport"	-0.151644423260248	1	239	20	0
"GO:0006895~Golgi to endosome transport"	-0.151644423260248	1	239	10	0
"GO:0001833~inner cell mass cell proliferation"	-0.151644423260248	1	239	13	0
"GO:0001539~ciliary or flagellar motility"	-0.151644423260248	1	239	16	0
"GO:0034968~histone lysine methylation"	-0.151644423260248	1	239	21	0
"GO:0006699~bile acid biosynthetic process"	-0.151644423260248	1	239	21	0
"GO:0015721~bile acid and bile salt transport"	-0.151644423260248	1	239	16	0
"GO:0007398~ectoderm development"	-0.151644423260248	1	239	17	0
"GO:0048599~oocyte development"	-0.151644423260248	1	239	10	0
"GO:0007016~cytoskeletal anchoring at plasma membrane"	-0.151644423260248	1	239	10	0
"GO:0042307~positive regulation of protein import into nucleus"	-0.151644423260248	1	239	11	0
"GO:0045216~cell-cell junction organization"	-0.151644423260248	1	239	62	0
"GO:0034332~adherens junction organization"	-0.151644423260248	1	239	35	0
"GO:0016331~morphogenesis of embryonic epithelium"	-0.151644423260248	1	239	12	0
"GO:0034329~cell junction assembly"	-0.151644423260248	1	239	74	0
"GO:0006379~mRNA cleavage"	-0.151644423260248	1	239	11	0
"GO:0006406~mRNA export from nucleus"	-0.151644423260248	1	239	63	0
"GO:0006378~mRNA polyadenylation"	-0.151644423260248	1	239	20	0
"GO:0006369~termination of RNA polymerase II transcription"	-0.151644423260248	1	239	44	0
"GO:0031124~mRNA 3'-end processing"	-0.151644423260248	1	239	33	0
"GO:0019048~virus-host interaction"	-0.151644423260248	1	239	12	0
"GO:0030148~sphingolipid biosynthetic process"	-0.151644423260248	1	239	34	0
"GO:0010628~positive regulation of gene expression"	-0.151644423260248	1	239	150	0
"GO:0000413~protein peptidyl-prolyl isomerization"	-0.151644423260248	1	239	20	0
"GO:0018208~peptidyl-proline modification"	-0.151644423260248	1	239	14	0
"GO:0008210~estrogen metabolic process"	-0.151644423260248	1	239	13	0
"GO:0002076~osteoblast development"	-0.151644423260248	1	239	19	0
"GO:0050715~positive regulation of cytokine secretion"	-0.151644423260248	1	239	28	0
"GO:0009117~nucleotide metabolic process"	-0.151644423260248	1	239	12	0
"GO:0007030~Golgi organization"	-0.151644423260248	1	239	31	0
"GO:0007029~endoplasmic reticulum organization"	-0.151644423260248	1	239	13	0
"GO:0009566~fertilization"	-0.151644423260248	1	239	30	0
"GO:0008584~male gonad development"	-0.151644423260248	1	239	78	0
"GO:0048873~homeostasis of number of cells within a tissue"	-0.151644423260248	1	239	20	0
"GO:0016079~synaptic vesicle exocytosis"	-0.151644423260248	1	239	15	0
"GO:0009435~NAD biosynthetic process"	-0.151644423260248	1	239	14	0
"GO:0031325~positive regulation of cellular metabolic process"	-0.151644423260248	1	239	13	0
"GO:0006885~regulation of pH"	-0.151644423260248	1	239	18	0
"GO:0008272~sulfate transport"	-0.151644423260248	1	239	13	0
"GO:0006909~phagocytosis"	-0.151644423260248	1	239	34	0
"GO:0007608~sensory perception of smell"	-0.151644423260248	1	239	54	0
"GO:0050911~detection of chemical stimulus involved in sensory perception of smell"	-0.151644423260248	1	239	36	0
"GO:0046788~egress of virus within host cell"	-0.151644423260248	1	239	11	0
"GO:0031397~negative regulation of protein ubiquitination"	-0.151644423260248	1	239	18	0
"GO:0097191~extrinsic apoptotic signaling pathway"	-0.151644423260248	1	239	10	0
"GO:0048593~camera-type eye morphogenesis"	-0.151644423260248	1	239	19	0
"GO:0007162~negative regulation of cell adhesion"	-0.151644423260248	1	239	31	0
"GO:0045807~positive regulation of endocytosis"	-0.151644423260248	1	239	14	0
"GO:0042994~cytoplasmic sequestering of transcription factor"	-0.151644423260248	1	239	14	0
"GO:0030259~lipid glycosylation"	-0.151644423260248	1	239	26	0
"GO:0007588~excretion"	-0.151644423260248	1	239	43	0
"GO:0006820~anion transport"	-0.151644423260248	1	239	21	0
"GO:0022617~extracellular matrix disassembly"	-0.151644423260248	1	239	28	0
"GO:0007586~digestion"	-0.151644423260248	1	239	54	0
"GO:0042110~T cell activation"	-0.151644423260248	1	239	45	0
"GO:0030593~neutrophil chemotaxis"	-0.151644423260248	1	239	31	0
"GO:0014065~phosphatidylinositol 3-kinase cascade"	-0.151644423260248	1	239	18	0
"GO:0001816~cytokine production"	-0.151644423260248	1	239	22	0
"GO:0070527~platelet aggregation"	-0.151644423260248	1	239	11	0
"GO:0036092~phosphatidylinositol-3-phosphate biosynthetic process"	-0.151644423260248	1	239	11	0
"GO:0051607~defense response to virus"	-0.151644423260248	1	239	62	0
"GO:0045088~regulation of innate immune response"	-0.151644423260248	1	239	13	0
"GO:0032481~positive regulation of type I interferon production"	-0.151644423260248	1	239	18	0
"GO:0032480~negative regulation of type I interferon production"	-0.151644423260248	1	239	31	0
"GO:0060048~cardiac muscle contraction"	-0.151644423260248	1	239	30	0
"GO:0038032~termination of G-protein coupled receptor signaling pathway"	-0.151644423260248	1	239	42	0
"GO:0007213~G-protein coupled acetylcholine receptor signaling pathway"	-0.151644423260248	1	239	11	0
"GO:0030901~midbrain development"	-0.151644423260248	1	239	32	0
"GO:0021537~telencephalon development"	-0.151644423260248	1	239	27	0
"GO:0015711~organic anion transport"	-0.151644423260248	1	239	20	0
"GO:0030574~collagen catabolic process"	-0.151644423260248	1	239	20	0
"GO:0035176~social behavior"	-0.151644423260248	1	239	35	0
"GO:0045907~positive regulation of vasoconstriction"	-0.151644423260248	1	239	23	0
"GO:0007204~elevation of cytosolic calcium ion concentration"	-0.151644423260248	1	239	104	0
"GO:0014902~myotube differentiation"	-0.151644423260248	1	239	11	0
"GO:0035815~positive regulation of renal sodium excretion"	-0.151644423260248	1	239	11	0
"GO:0010460~positive regulation of heart rate"	-0.151644423260248	1	239	12	0
"GO:0007625~grooming behavior"	-0.151644423260248	1	239	12	0
"GO:0006091~generation of precursor metabolites and energy"	-0.151644423260248	1	239	51	0
"GO:0045777~positive regulation of blood pressure"	-0.151644423260248	1	239	22	0
"GO:0030100~regulation of endocytosis"	-0.151644423260248	1	239	19	0
"GO:0007032~endosome organization"	-0.151644423260248	1	239	20	0
"GO:0035019~somatic stem cell maintenance"	-0.151644423260248	1	239	39	0
"GO:0016568~chromatin modification"	-0.151644423260248	1	239	101	0
"GO:0008654~phospholipid biosynthetic process"	-0.151644423260248	1	239	38	0
"GO:0048041~focal adhesion assembly"	-0.151644423260248	1	239	17	0
"GO:0060326~cell chemotaxis"	-0.151644423260248	1	239	20	0
"GO:0072661~protein targeting to plasma membrane"	-0.151644423260248	1	239	12	0
"GO:0051262~protein tetramerization"	-0.151644423260248	1	239	25	0
"GO:0070588~calcium ion transmembrane transport"	-0.151644423260248	1	239	45	0
"GO:0032981~mitochondrial respiratory chain complex I assembly"	-0.151644423260248	1	239	13	0
"GO:0042310~vasoconstriction"	-0.151644423260248	1	239	13	0
"GO:0001932~regulation of protein phosphorylation"	-0.151644423260248	1	239	35	0
"GO:0006833~water transport"	-0.151644423260248	1	239	38	0
"GO:0007612~learning"	-0.151644423260248	1	239	39	0
"GO:0034199~activation of protein kinase A activity"	-0.151644423260248	1	239	16	0
"GO:0045859~regulation of protein kinase activity"	-0.151644423260248	1	239	17	0
"GO:0006099~tricarboxylic acid cycle"	-0.151644423260248	1	239	25	0
"GO:0006103~2-oxoglutarate metabolic process"	-0.151644423260248	1	239	19	0
"GO:0010510~regulation of acetyl-CoA biosynthetic process from pyruvate"	-0.151644423260248	1	239	12	0
"GO:0007040~lysosome organization"	-0.151644423260248	1	239	30	0
"GO:0006898~receptor-mediated endocytosis"	-0.151644423260248	1	239	48	0
"GO:0006661~phosphatidylinositol biosynthetic process"	-0.151644423260248	1	239	14	0
"GO:0032526~response to retinoic acid"	-0.151644423260248	1	239	54	0
"GO:0006892~post-Golgi vesicle-mediated transport"	-0.151644423260248	1	239	40	0
"GO:0009103~lipopolysaccharide biosynthetic process"	-0.151644423260248	1	239	48	0
"GO:0016579~protein deubiquitination"	-0.151644423260248	1	239	32	0
"GO:0043484~regulation of RNA splicing"	-0.151644423260248	1	239	22	0
"GO:0007566~embryo implantation"	-0.151644423260248	1	239	38	0
"GO:0050679~positive regulation of epithelial cell proliferation"	-0.151644423260248	1	239	59	0
"GO:0006891~intra-Golgi vesicle-mediated transport"	-0.151644423260248	1	239	15	0
"GO:0006779~porphyrin-containing compound biosynthetic process"	-0.151644423260248	1	239	11	0
"GO:0006778~porphyrin-containing compound metabolic process"	-0.151644423260248	1	239	16	0
"GO:0046685~response to arsenic-containing substance"	-0.151644423260248	1	239	11	0
"GO:0010288~response to lead ion"	-0.151644423260248	1	239	13	0
"GO:0010039~response to iron ion"	-0.151644423260248	1	239	15	0
"GO:0051597~response to methylmercury"	-0.151644423260248	1	239	10	0
"GO:0006783~heme biosynthetic process"	-0.151644423260248	1	239	18	0
"GO:0006107~oxaloacetate metabolic process"	-0.151644423260248	1	239	11	0
"GO:0006006~glucose metabolic process"	-0.151644423260248	1	239	113	0
"GO:0008610~lipid biosynthetic process"	-0.151644423260248	1	239	16	0
"GO:0048025~negative regulation of nuclear mRNA splicing, via spliceosome"	-0.151644423260248	1	239	10	0
"GO:0006807~nitrogen compound metabolic process"	-0.151644423260248	1	239	17	0
"GO:0009311~oligosaccharide metabolic process"	-0.151644423260248	1	239	13	0
"GO:0000375~RNA splicing, via transesterification reactions"	-0.151644423260248	1	239	25	0
"GO:0006626~protein targeting to mitochondrion"	-0.151644423260248	1	239	43	0
"GO:0034599~cellular response to oxidative stress"	-0.151644423260248	1	239	18	0
"GO:0006284~base-excision repair"	-0.151644423260248	1	239	34	0
"GO:0000245~spliceosomal complex assembly"	-0.151644423260248	1	239	24	0
"GO:0000387~spliceosomal snRNP assembly"	-0.151644423260248	1	239	27	0
"GO:0034660~ncRNA metabolic process"	-0.151644423260248	1	239	23	0
"GO:0048666~neuron development"	-0.151644423260248	1	239	38	0
"GO:0030890~positive regulation of B cell proliferation"	-0.151644423260248	1	239	35	0
"GO:0042517~positive regulation of tyrosine phosphorylation of Stat3 protein"	-0.151644423260248	1	239	23	0
"GO:0043517~positive regulation of DNA damage response, signal transduction by p53 class mediator"	-0.151644423260248	1	239	12	0
"GO:0002009~morphogenesis of an epithelium"	-0.151644423260248	1	239	16	0
"GO:0002088~lens development in camera-type eye"	-0.151644423260248	1	239	27	0
"GO:0030334~regulation of cell migration"	-0.151644423260248	1	239	56	0
"GO:0030500~regulation of bone mineralization"	-0.151644423260248	1	239	15	0
"GO:0046627~negative regulation of insulin receptor signaling pathway"	-0.151644423260248	1	239	22	0
"GO:0001503~ossification"	-0.151644423260248	1	239	87	0
"GO:0030502~negative regulation of bone mineralization"	-0.151644423260248	1	239	16	0
"GO:0050766~positive regulation of phagocytosis"	-0.151644423260248	1	239	23	0
"GO:0006953~acute-phase response"	-0.151644423260248	1	239	34	0
"GO:0045780~positive regulation of bone resorption"	-0.151644423260248	1	239	11	0
"GO:0032956~regulation of actin cytoskeleton organization"	-0.151644423260248	1	239	30	0
"GO:0050730~regulation of peptidyl-tyrosine phosphorylation"	-0.151644423260248	1	239	14	0
"GO:0010468~regulation of gene expression"	-0.151644423260248	1	239	87	0
"GO:0051894~positive regulation of focal adhesion assembly"	-0.151644423260248	1	239	11	0
"GO:0051918~negative regulation of fibrinolysis"	-0.151644423260248	1	239	10	0
"GO:0030193~regulation of blood coagulation"	-0.151644423260248	1	239	10	0
"GO:0043537~negative regulation of blood vessel endothelial cell migration"	-0.151644423260248	1	239	17	0
"GO:0035810~positive regulation of urine volume"	-0.151644423260248	1	239	12	0
"GO:0042311~vasodilation"	-0.151644423260248	1	239	16	0
"GO:0030195~negative regulation of blood coagulation"	-0.151644423260248	1	239	11	0
"GO:0008063~Toll signaling pathway"	-0.151644423260248	1	239	76	0
"GO:0010629~negative regulation of gene expression"	-0.151644423260248	1	239	74	0
"GO:0032728~positive regulation of interferon-beta production"	-0.151644423260248	1	239	18	0
"GO:0034142~toll-like receptor 4 signaling pathway"	-0.151644423260248	1	239	75	0
"GO:0002756~MyD88-independent toll-like receptor signaling pathway"	-0.151644423260248	1	239	65	0
"GO:0034138~toll-like receptor 3 signaling pathway"	-0.151644423260248	1	239	63	0
"GO:0035666~TRIF-dependent toll-like receptor signaling pathway"	-0.151644423260248	1	239	61	0
"GO:0000289~nuclear-transcribed mRNA poly(A) tail shortening"	-0.151644423260248	1	239	25	0
"GO:0006446~regulation of translational initiation"	-0.151644423260248	1	239	26	0
"GO:0071479~cellular response to ionizing radiation"	-0.151644423260248	1	239	18	0
"GO:0007416~synapse assembly"	-0.151644423260248	1	239	29	0
"GO:0015701~bicarbonate transport"	-0.151644423260248	1	239	16	0
"GO:0005977~glycogen metabolic process"	-0.151644423260248	1	239	27	0
"GO:0019433~triglyceride catabolic process"	-0.151644423260248	1	239	19	0
"GO:0048754~branching morphogenesis of a tube"	-0.151644423260248	1	239	34	0
"GO:0072659~protein localization in plasma membrane"	-0.151644423260248	1	239	26	0
"GO:0050805~negative regulation of synaptic transmission"	-0.151644423260248	1	239	11	0
"GO:0009744~response to sucrose stimulus"	-0.151644423260248	1	239	10	0
"GO:0050873~brown fat cell differentiation"	-0.151644423260248	1	239	28	0
"GO:0009967~positive regulation of signal transduction"	-0.151644423260248	1	239	17	0
"GO:0046326~positive regulation of glucose import"	-0.151644423260248	1	239	24	0
"GO:0045599~negative regulation of fat cell differentiation"	-0.151644423260248	1	239	35	0
"GO:0045776~negative regulation of blood pressure"	-0.151644423260248	1	239	25	0
"GO:0048662~negative regulation of smooth muscle cell proliferation"	-0.151644423260248	1	239	27	0
"GO:0050731~positive regulation of peptidyl-tyrosine phosphorylation"	-0.151644423260248	1	239	60	0
"GO:0046888~negative regulation of hormone secretion"	-0.151644423260248	1	239	13	0
"GO:0034612~response to tumor necrosis factor"	-0.151644423260248	1	239	27	0
"GO:0035690~cellular response to drug"	-0.151644423260248	1	239	28	0
"GO:0070373~negative regulation of ERK1 and ERK2 cascade"	-0.151644423260248	1	239	19	0
"GO:0010875~positive regulation of cholesterol efflux"	-0.151644423260248	1	239	11	0
"GO:0043407~negative regulation of MAP kinase activity"	-0.151644423260248	1	239	32	0
