"Annotation (pathway/process)"	"XD-score"	"Fisher q-value"	"Gene set size"	"Pathway size"	"Overlap size"
"GO:0006367~transcription initiation from RNA polymerase II promoter"	-0.0980902187353476	1	255	158	1
"GO:0016055~Wnt receptor signaling pathway"	-0.100174195271315	1	255	164	1
"GO:0006511~ubiquitin-dependent protein catabolic process"	-0.100174195271315	1	255	164	1
"GO:0002063~chondrocyte development"	-0.155052244051803	1	255	13	0
"GO:0048598~embryonic morphogenesis"	-0.155052244051803	1	255	15	0
"GO:0001649~osteoblast differentiation"	-0.155052244051803	1	255	51	0
"GO:0045880~positive regulation of smoothened signaling pathway"	-0.155052244051803	1	255	17	0
"GO:0002053~positive regulation of mesenchymal cell proliferation"	-0.155052244051803	1	255	36	0
"GO:0048557~embryonic digestive tract morphogenesis"	-0.155052244051803	1	255	18	0
"GO:0030326~embryonic limb morphogenesis"	-0.155052244051803	1	255	60	0
"GO:0050772~positive regulation of axonogenesis"	-0.155052244051803	1	255	19	0
"GO:0017148~negative regulation of translation"	-0.155052244051803	1	255	26	0
"GO:0006941~striated muscle contraction"	-0.155052244051803	1	255	16	0
"GO:0072593~reactive oxygen species metabolic process"	-0.155052244051803	1	255	27	0
"GO:0021549~cerebellum development"	-0.155052244051803	1	255	31	0
"GO:0022900~electron transport chain"	-0.155052244051803	1	255	36	0
"GO:0007595~lactation"	-0.155052244051803	1	255	44	0
"GO:0015986~ATP synthesis coupled proton transport"	-0.155052244051803	1	255	16	0
"GO:0042776~mitochondrial ATP synthesis coupled proton transport"	-0.155052244051803	1	255	15	0
"GO:0010243~response to organic nitrogen"	-0.155052244051803	1	255	38	0
"GO:0006816~calcium ion transport"	-0.155052244051803	1	255	110	0
"GO:0051925~regulation of calcium ion transport via voltage-gated calcium channel activity"	-0.155052244051803	1	255	36	0
"GO:0050877~neurological system process"	-0.155052244051803	1	255	13	0
"GO:0048536~spleen development"	-0.155052244051803	1	255	26	0
"GO:0007214~gamma-aminobutyric acid signaling pathway"	-0.155052244051803	1	255	21	0
"GO:0048538~thymus development"	-0.155052244051803	1	255	34	0
"GO:0035249~synaptic transmission, glutamatergic"	-0.155052244051803	1	255	24	0
"GO:0007528~neuromuscular junction development"	-0.155052244051803	1	255	26	0
"GO:0050852~T cell receptor signaling pathway"	-0.155052244051803	1	255	119	0
"GO:0042391~regulation of membrane potential"	-0.155052244051803	1	255	46	0
"GO:0007628~adult walking behavior"	-0.155052244051803	1	255	30	0
"GO:0060041~retina development in camera-type eye"	-0.155052244051803	1	255	56	0
"GO:0006821~chloride transport"	-0.155052244051803	1	255	57	0
"GO:0016197~endosome transport"	-0.155052244051803	1	255	51	0
"GO:0042059~negative regulation of epidermal growth factor receptor signaling pathway"	-0.155052244051803	1	255	35	0
"GO:0030866~cortical actin cytoskeleton organization"	-0.155052244051803	1	255	17	0
"GO:0006383~transcription from RNA polymerase III promoter"	-0.155052244051803	1	255	38	0
"GO:0006289~nucleotide-excision repair"	-0.155052244051803	1	255	74	0
"GO:0006370~mRNA capping"	-0.155052244051803	1	255	30	0
"GO:0006368~transcription elongation from RNA polymerase II promoter"	-0.155052244051803	1	255	69	0
"GO:0006361~transcription initiation from RNA polymerase I promoter"	-0.155052244051803	1	255	26	0
"GO:0006283~transcription-coupled nucleotide-excision repair"	-0.155052244051803	1	255	47	0
"GO:0050434~positive regulation of viral transcription"	-0.155052244051803	1	255	49	0
"GO:0006385~transcription elongation from RNA polymerase III promoter"	-0.155052244051803	1	255	18	0
"GO:0006386~termination of RNA polymerase III transcription"	-0.155052244051803	1	255	18	0
"GO:0006360~transcription from RNA polymerase I promoter"	-0.155052244051803	1	255	26	0
"GO:0006362~transcription elongation from RNA polymerase I promoter"	-0.155052244051803	1	255	21	0
"GO:0006363~termination of RNA polymerase I transcription"	-0.155052244051803	1	255	23	0
"GO:0016477~cell migration"	-0.155052244051803	1	255	122	0
"GO:0032465~regulation of cytokinesis"	-0.155052244051803	1	255	11	0
"GO:0030099~myeloid cell differentiation"	-0.155052244051803	1	255	22	0
"GO:0045668~negative regulation of osteoblast differentiation"	-0.155052244051803	1	255	37	0
"GO:0030514~negative regulation of BMP signaling pathway"	-0.155052244051803	1	255	30	0
"GO:0007389~pattern specification process"	-0.155052244051803	1	255	92	0
"GO:0009953~dorsal/ventral pattern formation"	-0.155052244051803	1	255	48	0
"GO:0051603~proteolysis involved in cellular protein catabolic process"	-0.155052244051803	1	255	33	0
"GO:0007346~regulation of mitotic cell cycle"	-0.155052244051803	1	255	27	0
"GO:0006493~protein O-linked glycosylation"	-0.155052244051803	1	255	21	0
"GO:0030282~bone mineralization"	-0.155052244051803	1	255	29	0
"GO:0042476~odontogenesis"	-0.155052244051803	1	255	34	0
"GO:0030317~sperm motility"	-0.155052244051803	1	255	32	0
"GO:0000381~regulation of alternative nuclear mRNA splicing, via spliceosome"	-0.155052244051803	1	255	16	0
"GO:0006813~potassium ion transport"	-0.155052244051803	1	255	99	0
"GO:0031668~cellular response to extracellular stimulus"	-0.155052244051803	1	255	19	0
"GO:0010035~response to inorganic substance"	-0.155052244051803	1	255	21	0
"GO:0001975~response to amphetamine"	-0.155052244051803	1	255	29	0
"GO:0071542~dopaminergic neuron differentiation"	-0.155052244051803	1	255	11	0
"GO:0033554~cellular response to stress"	-0.155052244051803	1	255	13	0
"GO:0042551~neuron maturation"	-0.155052244051803	1	255	10	0
"GO:0043401~steroid hormone mediated signaling pathway"	-0.155052244051803	1	255	56	0
"GO:0021953~central nervous system neuron differentiation"	-0.155052244051803	1	255	12	0
"GO:0033077~T cell differentiation in thymus"	-0.155052244051803	1	255	29	0
"GO:0048535~lymph node development"	-0.155052244051803	1	255	13	0
"GO:0048546~digestive tract morphogenesis"	-0.155052244051803	1	255	18	0
"GO:0032314~regulation of Rac GTPase activity"	-0.155052244051803	1	255	14	0
"GO:0001655~urogenital system development"	-0.155052244051803	1	255	16	0
"GO:0031290~retinal ganglion cell axon guidance"	-0.155052244051803	1	255	17	0
"GO:0051965~positive regulation of synapse assembly"	-0.155052244051803	1	255	20	0
"GO:0060021~palate development"	-0.155052244051803	1	255	63	0
"GO:0048013~ephrin receptor signaling pathway"	-0.155052244051803	1	255	30	0
"GO:0034446~substrate adhesion-dependent cell spreading"	-0.155052244051803	1	255	24	0
"GO:0050770~regulation of axonogenesis"	-0.155052244051803	1	255	28	0
"GO:0007413~axonal fasciculation"	-0.155052244051803	1	255	13	0
"GO:0008156~negative regulation of DNA replication"	-0.155052244051803	1	255	22	0
"GO:0031424~keratinization"	-0.155052244051803	1	255	33	0
"GO:0030216~keratinocyte differentiation"	-0.155052244051803	1	255	50	0
"GO:0006024~glycosaminoglycan biosynthetic process"	-0.155052244051803	1	255	12	0
"GO:0007015~actin filament organization"	-0.155052244051803	1	255	37	0
"GO:0001763~morphogenesis of a branching structure"	-0.155052244051803	1	255	11	0
"GO:0016045~detection of bacterium"	-0.155052244051803	1	255	14	0
"GO:0031532~actin cytoskeleton reorganization"	-0.155052244051803	1	255	34	0
"GO:0046676~negative regulation of insulin secretion"	-0.155052244051803	1	255	26	0
"GO:0019915~lipid storage"	-0.155052244051803	1	255	16	0
"GO:0090026~positive regulation of monocyte chemotaxis"	-0.155052244051803	1	255	12	0
"GO:0050829~defense response to Gram-negative bacterium"	-0.155052244051803	1	255	16	0
"GO:0060037~pharyngeal system development"	-0.155052244051803	1	255	15	0
"GO:0001755~neural crest cell migration"	-0.155052244051803	1	255	33	0
"GO:0018107~peptidyl-threonine phosphorylation"	-0.155052244051803	1	255	29	0
"GO:0007281~germ cell development"	-0.155052244051803	1	255	33	0
"GO:0030509~BMP signaling pathway"	-0.155052244051803	1	255	55	0
"GO:0001569~patterning of blood vessels"	-0.155052244051803	1	255	35	0
"GO:0045669~positive regulation of osteoblast differentiation"	-0.155052244051803	1	255	48	0
"GO:0051145~smooth muscle cell differentiation"	-0.155052244051803	1	255	20	0
"GO:0060389~pathway-restricted SMAD protein phosphorylation"	-0.155052244051803	1	255	13	0
"GO:0030501~positive regulation of bone mineralization"	-0.155052244051803	1	255	28	0
"GO:0009968~negative regulation of signal transduction"	-0.155052244051803	1	255	21	0
"GO:0030278~regulation of ossification"	-0.155052244051803	1	255	11	0
"GO:0007178~transmembrane receptor protein serine/threonine kinase signaling pathway"	-0.155052244051803	1	255	11	0
"GO:0010862~positive regulation of pathway-restricted SMAD protein phosphorylation"	-0.155052244051803	1	255	28	0
"GO:0032924~activin receptor signaling pathway"	-0.155052244051803	1	255	11	0
"GO:0007369~gastrulation"	-0.155052244051803	1	255	28	0
"GO:0043542~endothelial cell migration"	-0.155052244051803	1	255	22	0
"GO:0009116~nucleoside metabolic process"	-0.155052244051803	1	255	16	0
"GO:0006206~pyrimidine base metabolic process"	-0.155052244051803	1	255	24	0
"GO:0046135~pyrimidine nucleoside catabolic process"	-0.155052244051803	1	255	12	0
"GO:0007254~JNK cascade"	-0.155052244051803	1	255	60	0
"GO:0051092~positive regulation of NF-kappaB transcription factor activity"	-0.155052244051803	1	255	100	0
"GO:0000186~activation of MAPKK activity"	-0.155052244051803	1	255	46	0
"GO:0040008~regulation of growth"	-0.155052244051803	1	255	55	0
"GO:0001974~blood vessel remodeling"	-0.155052244051803	1	255	37	0
"GO:0007205~protein kinase C-activating G-protein coupled receptor signaling pathway"	-0.155052244051803	1	255	37	0
"GO:0051028~mRNA transport"	-0.155052244051803	1	255	46	0
"GO:0009950~dorsal/ventral axis specification"	-0.155052244051803	1	255	15	0
"GO:0032091~negative regulation of protein binding"	-0.155052244051803	1	255	22	0
"GO:0042593~glucose homeostasis"	-0.155052244051803	1	255	65	0
"GO:0021542~dentate gyrus development"	-0.155052244051803	1	255	13	0
"GO:0023019~signal transduction involved in regulation of gene expression"	-0.155052244051803	1	255	18	0
"GO:0031018~endocrine pancreas development"	-0.155052244051803	1	255	40	0
"GO:0030073~insulin secretion"	-0.155052244051803	1	255	31	0
"GO:0022008~neurogenesis"	-0.155052244051803	1	255	34	0
"GO:0030902~hindbrain development"	-0.155052244051803	1	255	22	0
"GO:0043010~camera-type eye development"	-0.155052244051803	1	255	55	0
"GO:0008542~visual learning"	-0.155052244051803	1	255	35	0
"GO:0000042~protein targeting to Golgi"	-0.155052244051803	1	255	14	0
"GO:0030433~ER-associated protein catabolic process"	-0.155052244051803	1	255	31	0
"GO:0006662~glycerol ether metabolic process"	-0.155052244051803	1	255	15	0
"GO:0070059~intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress"	-0.155052244051803	1	255	15	0
"GO:0032781~positive regulation of ATPase activity"	-0.155052244051803	1	255	17	0
"GO:0034976~response to endoplasmic reticulum stress"	-0.155052244051803	1	255	15	0
"GO:0045600~positive regulation of fat cell differentiation"	-0.155052244051803	1	255	22	0
"GO:0090090~negative regulation of canonical Wnt receptor signaling pathway"	-0.155052244051803	1	255	71	0
"GO:0030178~negative regulation of Wnt receptor signaling pathway"	-0.155052244051803	1	255	42	0
"GO:0060056~mammary gland involution"	-0.155052244051803	1	255	10	0
"GO:0090103~cochlea morphogenesis"	-0.155052244051803	1	255	21	0
"GO:0008406~gonad development"	-0.155052244051803	1	255	26	0
"GO:0001944~vasculature development"	-0.155052244051803	1	255	34	0
"GO:0042472~inner ear morphogenesis"	-0.155052244051803	1	255	67	0
"GO:0048617~embryonic foregut morphogenesis"	-0.155052244051803	1	255	11	0
"GO:0035050~embryonic heart tube development"	-0.155052244051803	1	255	20	0
"GO:0032880~regulation of protein localization"	-0.155052244051803	1	255	34	0
"GO:0048339~paraxial mesoderm development"	-0.155052244051803	1	255	10	0
"GO:0045176~apical protein localization"	-0.155052244051803	1	255	11	0
"GO:0042074~cell migration involved in gastrulation"	-0.155052244051803	1	255	12	0
"GO:0007492~endoderm development"	-0.155052244051803	1	255	36	0
"GO:0045860~positive regulation of protein kinase activity"	-0.155052244051803	1	255	40	0
"GO:0006470~protein dephosphorylation"	-0.155052244051803	1	255	133	0
"GO:0006469~negative regulation of protein kinase activity"	-0.155052244051803	1	255	56	0
"GO:0046330~positive regulation of JNK cascade"	-0.155052244051803	1	255	52	0
"GO:0043507~positive regulation of JUN kinase activity"	-0.155052244051803	1	255	32	0
"GO:0046329~negative regulation of JNK cascade"	-0.155052244051803	1	255	19	0
"GO:0043508~negative regulation of JUN kinase activity"	-0.155052244051803	1	255	12	0
"GO:0016311~dephosphorylation"	-0.155052244051803	1	255	105	0
"GO:0000188~inactivation of MAPK activity"	-0.155052244051803	1	255	25	0
"GO:0010827~regulation of glucose transport"	-0.155052244051803	1	255	30	0
"GO:0043277~apoptotic cell clearance"	-0.155052244051803	1	255	12	0
"GO:0010745~negative regulation of macrophage derived foam cell differentiation"	-0.155052244051803	1	255	12	0
"GO:0030819~positive regulation of cAMP biosynthetic process"	-0.155052244051803	1	255	33	0
"GO:0007189~adenylate cyclase-activating G-protein coupled receptor signaling pathway"	-0.155052244051803	1	255	45	0
"GO:0031623~receptor internalization"	-0.155052244051803	1	255	28	0
"GO:0006171~cAMP biosynthetic process"	-0.155052244051803	1	255	16	0
"GO:0007187~G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger"	-0.155052244051803	1	255	39	0
"GO:0010951~negative regulation of endopeptidase activity"	-0.155052244051803	1	255	59	0
"GO:0006911~phagocytosis, engulfment"	-0.155052244051803	1	255	14	0
"GO:0043588~skin development"	-0.155052244051803	1	255	51	0
"GO:0048565~digestive tract development"	-0.155052244051803	1	255	24	0
"GO:0030199~collagen fibril organization"	-0.155052244051803	1	255	40	0
"GO:0071230~cellular response to amino acid stimulus"	-0.155052244051803	1	255	38	0
"GO:0006826~iron ion transport"	-0.155052244051803	1	255	18	0
"GO:0006541~glutamine metabolic process"	-0.155052244051803	1	255	16	0
"GO:0006672~ceramide metabolic process"	-0.155052244051803	1	255	17	0
"GO:0007131~reciprocal meiotic recombination"	-0.155052244051803	1	255	27	0
"GO:0070584~mitochondrion morphogenesis"	-0.155052244051803	1	255	11	0
"GO:0071773~cellular response to BMP stimulus"	-0.155052244051803	1	255	10	0
"GO:0040007~growth"	-0.155052244051803	1	255	38	0
"GO:0009629~response to gravity"	-0.155052244051803	1	255	11	0
"GO:0033574~response to testosterone stimulus"	-0.155052244051803	1	255	26	0
"GO:0043627~response to estrogen stimulus"	-0.155052244051803	1	255	68	0
"GO:0043403~skeletal muscle tissue regeneration"	-0.155052244051803	1	255	11	0
"GO:0009083~branched chain family amino acid catabolic process"	-0.155052244051803	1	255	18	0
"GO:0030101~natural killer cell activation"	-0.155052244051803	1	255	14	0
"GO:0008104~protein localization"	-0.155052244051803	1	255	63	0
"GO:0032024~positive regulation of insulin secretion"	-0.155052244051803	1	255	35	0
"GO:0046854~phosphatidylinositol phosphorylation"	-0.155052244051803	1	255	31	0
"GO:0006796~phosphate-containing compound metabolic process"	-0.155052244051803	1	255	20	0
"GO:0050909~sensory perception of taste"	-0.155052244051803	1	255	35	0
"GO:0050912~detection of chemical stimulus involved in sensory perception of taste"	-0.155052244051803	1	255	12	0
"GO:0019722~calcium-mediated signaling"	-0.155052244051803	1	255	46	0
"GO:0000090~mitotic anaphase"	-0.155052244051803	1	255	11	0
"GO:0042552~myelination"	-0.155052244051803	1	255	38	0
"GO:0001958~endochondral ossification"	-0.155052244051803	1	255	22	0
"GO:0048009~insulin-like growth factor receptor signaling pathway"	-0.155052244051803	1	255	14	0
"GO:0014047~glutamate secretion"	-0.155052244051803	1	255	17	0
"GO:0002087~regulation of respiratory gaseous exchange by neurological system process"	-0.155052244051803	1	255	12	0
"GO:0007610~behavior"	-0.155052244051803	1	255	41	0
"GO:0001759~organ induction"	-0.155052244051803	1	255	15	0
"GO:0035121~tail morphogenesis"	-0.155052244051803	1	255	17	0
"GO:0033209~tumor necrosis factor-mediated signaling pathway"	-0.155052244051803	1	255	30	0
"GO:0031663~lipopolysaccharide-mediated signaling pathway"	-0.155052244051803	1	255	31	0
"GO:0043330~response to exogenous dsRNA"	-0.155052244051803	1	255	16	0
"GO:0060397~JAK-STAT cascade involved in growth hormone signaling pathway"	-0.155052244051803	1	255	23	0
"GO:0060334~regulation of interferon-gamma-mediated signaling pathway"	-0.155052244051803	1	255	16	0
"GO:0060337~type I interferon-mediated signaling pathway"	-0.155052244051803	1	255	86	0
"GO:0060338~regulation of type I interferon-mediated signaling pathway"	-0.155052244051803	1	255	27	0
"GO:0009617~response to bacterium"	-0.155052244051803	1	255	28	0
"GO:0019430~removal of superoxide radicals"	-0.155052244051803	1	255	11	0
"GO:0030001~metal ion transport"	-0.155052244051803	1	255	22	0
"GO:0010842~retina layer formation"	-0.155052244051803	1	255	13	0
"GO:0007626~locomotory behavior"	-0.155052244051803	1	255	70	0
"GO:0016358~dendrite development"	-0.155052244051803	1	255	38	0
"GO:0070830~tight junction assembly"	-0.155052244051803	1	255	31	0
"GO:0032313~regulation of Rab GTPase activity"	-0.155052244051803	1	255	35	0
"GO:0006506~GPI anchor biosynthetic process"	-0.155052244051803	1	255	28	0
"GO:0006501~C-terminal protein lipidation"	-0.155052244051803	1	255	25	0
"GO:0016254~preassembly of GPI anchor in ER membrane"	-0.155052244051803	1	255	16	0
"GO:0016575~histone deacetylation"	-0.155052244051803	1	255	20	0
"GO:0030520~intracellular estrogen receptor signaling pathway"	-0.155052244051803	1	255	14	0
"GO:0007130~synaptonemal complex assembly"	-0.155052244051803	1	255	21	0
"GO:0051017~actin filament bundle assembly"	-0.155052244051803	1	255	25	0
"GO:0030048~actin filament-based movement"	-0.155052244051803	1	255	16	0
"GO:0045332~phospholipid translocation"	-0.155052244051803	1	255	13	0
"GO:0007093~mitotic cell cycle checkpoint"	-0.155052244051803	1	255	14	0
"GO:0016573~histone acetylation"	-0.155052244051803	1	255	25	0
"GO:0043967~histone H4 acetylation"	-0.155052244051803	1	255	21	0
"GO:0016578~histone deubiquitination"	-0.155052244051803	1	255	12	0
"GO:0043968~histone H2A acetylation"	-0.155052244051803	1	255	12	0
"GO:0060271~cilium morphogenesis"	-0.155052244051803	1	255	31	0
"GO:0010976~positive regulation of neuron projection development"	-0.155052244051803	1	255	45	0
"GO:0006936~muscle contraction"	-0.155052244051803	1	255	100	0
"GO:0051258~protein polymerization"	-0.155052244051803	1	255	30	0
"GO:0042384~cilium assembly"	-0.155052244051803	1	255	52	0
"GO:0006612~protein targeting to membrane"	-0.155052244051803	1	255	16	0
"GO:0032402~melanosome transport"	-0.155052244051803	1	255	11	0
"GO:0045453~bone resorption"	-0.155052244051803	1	255	19	0
"GO:0032922~circadian regulation of gene expression"	-0.155052244051803	1	255	12	0
"GO:0051149~positive regulation of muscle cell differentiation"	-0.155052244051803	1	255	28	0
"GO:0045947~negative regulation of translational initiation"	-0.155052244051803	1	255	11	0
"GO:0042254~ribosome biogenesis"	-0.155052244051803	1	255	41	0
"GO:0007156~homophilic cell adhesion"	-0.155052244051803	1	255	92	0
"GO:0040018~positive regulation of multicellular organism growth"	-0.155052244051803	1	255	29	0
"GO:0019432~triglyceride biosynthetic process"	-0.155052244051803	1	255	44	0
"GO:0016180~snRNA processing"	-0.155052244051803	1	255	12	0
"GO:0006829~zinc ion transport"	-0.155052244051803	1	255	20	0
"GO:0001833~inner cell mass cell proliferation"	-0.155052244051803	1	255	13	0
"GO:0001539~ciliary or flagellar motility"	-0.155052244051803	1	255	16	0
"GO:0034968~histone lysine methylation"	-0.155052244051803	1	255	21	0
"GO:0015721~bile acid and bile salt transport"	-0.155052244051803	1	255	16	0
"GO:0000902~cell morphogenesis"	-0.155052244051803	1	255	82	0
"GO:0007398~ectoderm development"	-0.155052244051803	1	255	17	0
"GO:0048599~oocyte development"	-0.155052244051803	1	255	10	0
"GO:0007016~cytoskeletal anchoring at plasma membrane"	-0.155052244051803	1	255	10	0
"GO:0042307~positive regulation of protein import into nucleus"	-0.155052244051803	1	255	11	0
"GO:0045216~cell-cell junction organization"	-0.155052244051803	1	255	62	0
"GO:0034332~adherens junction organization"	-0.155052244051803	1	255	35	0
"GO:0016331~morphogenesis of embryonic epithelium"	-0.155052244051803	1	255	12	0
"GO:0034329~cell junction assembly"	-0.155052244051803	1	255	74	0
"GO:0006379~mRNA cleavage"	-0.155052244051803	1	255	11	0
"GO:0006406~mRNA export from nucleus"	-0.155052244051803	1	255	63	0
"GO:0031124~mRNA 3'-end processing"	-0.155052244051803	1	255	33	0
"GO:0019048~virus-host interaction"	-0.155052244051803	1	255	12	0
"GO:0042787~protein ubiquitination involved in ubiquitin-dependent protein catabolic process"	-0.155052244051803	1	255	43	0
"GO:0000413~protein peptidyl-prolyl isomerization"	-0.155052244051803	1	255	20	0
"GO:0018208~peptidyl-proline modification"	-0.155052244051803	1	255	14	0
"GO:0008210~estrogen metabolic process"	-0.155052244051803	1	255	13	0
"GO:0002076~osteoblast development"	-0.155052244051803	1	255	19	0
"GO:0009117~nucleotide metabolic process"	-0.155052244051803	1	255	12	0
"GO:0006913~nucleocytoplasmic transport"	-0.155052244051803	1	255	106	0
"GO:0007266~Rho protein signal transduction"	-0.155052244051803	1	255	44	0
"GO:0007030~Golgi organization"	-0.155052244051803	1	255	31	0
"GO:0007029~endoplasmic reticulum organization"	-0.155052244051803	1	255	13	0
"GO:0009566~fertilization"	-0.155052244051803	1	255	30	0
"GO:0007286~spermatid development"	-0.155052244051803	1	255	57	0
"GO:0008584~male gonad development"	-0.155052244051803	1	255	78	0
"GO:0048873~homeostasis of number of cells within a tissue"	-0.155052244051803	1	255	20	0
"GO:0016079~synaptic vesicle exocytosis"	-0.155052244051803	1	255	15	0
"GO:0009435~NAD biosynthetic process"	-0.155052244051803	1	255	14	0
"GO:0019674~NAD metabolic process"	-0.155052244051803	1	255	11	0
"GO:0035338~long-chain fatty-acyl-CoA biosynthetic process"	-0.155052244051803	1	255	18	0
"GO:0044262~cellular carbohydrate metabolic process"	-0.155052244051803	1	255	10	0
"GO:0031325~positive regulation of cellular metabolic process"	-0.155052244051803	1	255	13	0
"GO:0008272~sulfate transport"	-0.155052244051803	1	255	13	0
"GO:0006909~phagocytosis"	-0.155052244051803	1	255	34	0
"GO:0007608~sensory perception of smell"	-0.155052244051803	1	255	54	0
"GO:0050911~detection of chemical stimulus involved in sensory perception of smell"	-0.155052244051803	1	255	36	0
"GO:0046788~egress of virus within host cell"	-0.155052244051803	1	255	11	0
"GO:0031397~negative regulation of protein ubiquitination"	-0.155052244051803	1	255	18	0
"GO:0090200~positive regulation of release of cytochrome c from mitochondria"	-0.155052244051803	1	255	18	0
"GO:0097191~extrinsic apoptotic signaling pathway"	-0.155052244051803	1	255	10	0
"GO:0010811~positive regulation of cell-substrate adhesion"	-0.155052244051803	1	255	28	0
"GO:0007162~negative regulation of cell adhesion"	-0.155052244051803	1	255	31	0
"GO:0045807~positive regulation of endocytosis"	-0.155052244051803	1	255	14	0
"GO:0042994~cytoplasmic sequestering of transcription factor"	-0.155052244051803	1	255	14	0
"GO:0007249~I-kappaB kinase/NF-kappaB cascade"	-0.155052244051803	1	255	40	0
"GO:0030259~lipid glycosylation"	-0.155052244051803	1	255	26	0
"GO:0007588~excretion"	-0.155052244051803	1	255	43	0
"GO:0006820~anion transport"	-0.155052244051803	1	255	21	0
"GO:0022617~extracellular matrix disassembly"	-0.155052244051803	1	255	28	0
"GO:0007586~digestion"	-0.155052244051803	1	255	54	0
"GO:0042110~T cell activation"	-0.155052244051803	1	255	45	0
"GO:0030593~neutrophil chemotaxis"	-0.155052244051803	1	255	31	0
"GO:0014065~phosphatidylinositol 3-kinase cascade"	-0.155052244051803	1	255	18	0
"GO:0001816~cytokine production"	-0.155052244051803	1	255	22	0
"GO:0070527~platelet aggregation"	-0.155052244051803	1	255	11	0
"GO:0002407~dendritic cell chemotaxis"	-0.155052244051803	1	255	14	0
"GO:0032481~positive regulation of type I interferon production"	-0.155052244051803	1	255	18	0
"GO:0032480~negative regulation of type I interferon production"	-0.155052244051803	1	255	31	0
"GO:0060048~cardiac muscle contraction"	-0.155052244051803	1	255	30	0
"GO:0007213~G-protein coupled acetylcholine receptor signaling pathway"	-0.155052244051803	1	255	11	0
"GO:0030901~midbrain development"	-0.155052244051803	1	255	32	0
"GO:0021537~telencephalon development"	-0.155052244051803	1	255	27	0
"GO:0043966~histone H3 acetylation"	-0.155052244051803	1	255	40	0
"GO:0030574~collagen catabolic process"	-0.155052244051803	1	255	20	0
"GO:0035176~social behavior"	-0.155052244051803	1	255	35	0
"GO:0010460~positive regulation of heart rate"	-0.155052244051803	1	255	12	0
"GO:0007625~grooming behavior"	-0.155052244051803	1	255	12	0
"GO:0006091~generation of precursor metabolites and energy"	-0.155052244051803	1	255	51	0
"GO:0030100~regulation of endocytosis"	-0.155052244051803	1	255	19	0
"GO:0007032~endosome organization"	-0.155052244051803	1	255	20	0
"GO:0035019~somatic stem cell maintenance"	-0.155052244051803	1	255	39	0
"GO:0016568~chromatin modification"	-0.155052244051803	1	255	101	0
"GO:0048041~focal adhesion assembly"	-0.155052244051803	1	255	17	0
"GO:0060326~cell chemotaxis"	-0.155052244051803	1	255	20	0
"GO:0072661~protein targeting to plasma membrane"	-0.155052244051803	1	255	12	0
"GO:0046488~phosphatidylinositol metabolic process"	-0.155052244051803	1	255	22	0
"GO:0051262~protein tetramerization"	-0.155052244051803	1	255	25	0
"GO:0070588~calcium ion transmembrane transport"	-0.155052244051803	1	255	45	0
"GO:0032981~mitochondrial respiratory chain complex I assembly"	-0.155052244051803	1	255	13	0
"GO:0032259~methylation"	-0.155052244051803	1	255	21	0
"GO:0042310~vasoconstriction"	-0.155052244051803	1	255	13	0
"GO:0001932~regulation of protein phosphorylation"	-0.155052244051803	1	255	35	0
"GO:0006103~2-oxoglutarate metabolic process"	-0.155052244051803	1	255	19	0
"GO:0010510~regulation of acetyl-CoA biosynthetic process from pyruvate"	-0.155052244051803	1	255	12	0
"GO:0007040~lysosome organization"	-0.155052244051803	1	255	30	0
"GO:0006661~phosphatidylinositol biosynthetic process"	-0.155052244051803	1	255	14	0
"GO:0006892~post-Golgi vesicle-mediated transport"	-0.155052244051803	1	255	40	0
"GO:0016579~protein deubiquitination"	-0.155052244051803	1	255	32	0
"GO:0006261~DNA-dependent DNA replication"	-0.155052244051803	1	255	20	0
"GO:0043484~regulation of RNA splicing"	-0.155052244051803	1	255	22	0
"GO:0007566~embryo implantation"	-0.155052244051803	1	255	38	0
"GO:0031175~neuron projection development"	-0.155052244051803	1	255	76	0
"GO:0006891~intra-Golgi vesicle-mediated transport"	-0.155052244051803	1	255	15	0
"GO:0006779~porphyrin-containing compound biosynthetic process"	-0.155052244051803	1	255	11	0
"GO:0006778~porphyrin-containing compound metabolic process"	-0.155052244051803	1	255	16	0
"GO:0046685~response to arsenic-containing substance"	-0.155052244051803	1	255	11	0
"GO:0010288~response to lead ion"	-0.155052244051803	1	255	13	0
"GO:0010039~response to iron ion"	-0.155052244051803	1	255	15	0
"GO:0051597~response to methylmercury"	-0.155052244051803	1	255	10	0
"GO:0006783~heme biosynthetic process"	-0.155052244051803	1	255	18	0
"GO:0006107~oxaloacetate metabolic process"	-0.155052244051803	1	255	11	0
"GO:0008610~lipid biosynthetic process"	-0.155052244051803	1	255	16	0
"GO:0048025~negative regulation of nuclear mRNA splicing, via spliceosome"	-0.155052244051803	1	255	10	0
"GO:0006486~protein glycosylation"	-0.155052244051803	1	255	92	0
"GO:0009311~oligosaccharide metabolic process"	-0.155052244051803	1	255	13	0
"GO:0000375~RNA splicing, via transesterification reactions"	-0.155052244051803	1	255	25	0
"GO:0034599~cellular response to oxidative stress"	-0.155052244051803	1	255	18	0
"GO:0006271~DNA strand elongation involved in DNA replication"	-0.155052244051803	1	255	30	0
"GO:0000722~telomere maintenance via recombination"	-0.155052244051803	1	255	25	0
